ungeprüfte Rohdaten!;;;
Zeitzone:;UTC+1;;
Stationsname:;Stiefern;;
Stationsnummer:;207993;;
Parameter:;Wassertemperatur;;
Zeitreihenname:;Tagesmittel;;
Werte von:;01.01.2022 00:00:00;;
Werte bis:;31.12.2022 23:59:59;;
Einheit:;°C;;
;;;
Datum;Wert;;
13.10.2022 00:00:00;12.8;;
14.10.2022 00:00:00;12.3;;
15.10.2022 00:00:00;12.4;;
16.10.2022 00:00:00;13.4;;
17.10.2022 00:00:00;13.7;;
18.10.2022 00:00:00;13.3;;
19.10.2022 00:00:00;13.3;;
20.10.2022 00:00:00;12;;
21.10.2022 00:00:00;10.9;;
22.10.2022 00:00:00;10.5;;
23.10.2022 00:00:00;10.8;;
24.10.2022 00:00:00;11.6;;
25.10.2022 00:00:00;12.2;;
26.10.2022 00:00:00;11.8;;
27.10.2022 00:00:00;11.8;;
28.10.2022 00:00:00;12.1;;
29.10.2022 00:00:00;12.4;;
30.10.2022 00:00:00;12.8;;
31.10.2022 00:00:00;12.7;;
01.11.2022 00:00:00;12.4;;
02.11.2022 00:00:00;12.3;;
03.11.2022 00:00:00;11.5;;
04.11.2022 00:00:00;10.9;;
05.11.2022 00:00:00;10.4;;
06.11.2022 00:00:00;9.5;;
07.11.2022 00:00:00;8.6;;
08.11.2022 00:00:00;8.2;;
09.11.2022 00:00:00;8.7;;
10.11.2022 00:00:00;9.2;;
11.11.2022 00:00:00;8.8;;
12.11.2022 00:00:00;8.2;;
13.11.2022 00:00:00;7.8;;
14.11.2022 00:00:00;7.8;;
15.11.2022 00:00:00;8.3;;
16.11.2022 00:00:00;8.8;;
17.11.2022 00:00:00;8.8;;
18.11.2022 00:00:00;8.4;;
19.11.2022 00:00:00;7;;
20.11.2022 00:00:00;5.9;;
21.11.2022 00:00:00;5.3;;
22.11.2022 00:00:00;5.4;;
23.11.2022 00:00:00;6.1;;
24.11.2022 00:00:00;6.4;;
25.11.2022 00:00:00;6.3;;
26.11.2022 00:00:00;6.5;;
27.11.2022 00:00:00;6.3;;
28.11.2022 00:00:00;6;;
29.11.2022 00:00:00;5.7;;
30.11.2022 00:00:00;5.4;;
01.12.2022 00:00:00;5.2;;
02.12.2022 00:00:00;4.8;;
03.12.2022 00:00:00;4.7;;
04.12.2022 00:00:00;4.8;;
05.12.2022 00:00:00;5.3;;
06.12.2022 00:00:00;5.3;;
07.12.2022 00:00:00;5.2;;
08.12.2022 00:00:00;4.8;;
09.12.2022 00:00:00;4.6;;
10.12.2022 00:00:00;4.6;;
11.12.2022 00:00:00;4.2;;
12.12.2022 00:00:00;3;;
13.12.2022 00:00:00;2.2;;
14.12.2022 00:00:00;2.5;;
15.12.2022 00:00:00;3.8;;
16.12.2022 00:00:00;4.1;;
17.12.2022 00:00:00;3.9;;
18.12.2022 00:00:00;2.1;;
19.12.2022 00:00:00;1.5;;
20.12.2022 00:00:00;1.6;;
21.12.2022 00:00:00;2.2;;
22.12.2022 00:00:00;2.6;;
23.12.2022 00:00:00;3.2;;
24.12.2022 00:00:00;4;;
25.12.2022 00:00:00;4.3;;
26.12.2022 00:00:00;4.6;;
27.12.2022 00:00:00;4.4;;
28.12.2022 00:00:00;3.3;;
29.12.2022 00:00:00;2.4;;
30.12.2022 00:00:00;2.5;;
31.12.2022 00:00:00;3.1;;
